Drug,Cell
Dactinomycin_1911,CHSA8926
OTX015,NB69
Camptothecin,TUR
Romidepsin,A253
Selumetinib_1062,SK-MEL-1
Romidepsin,DG-75
Epirubicin,LB2518-MEL
Vinorelbine,RPMI-8402
Paclitaxel,UMC-11
Tanespimycin,NCI-H1915
Camptothecin,LS-411N
OTX015,CRO-AP2
Gemcitabine,HC-1
Trametinib,ESO51
AZD8055,MDA-MB-468
JQ1,NKM-1
Epirubicin,TC-71
SN-38,AU565
Docetaxel_1819,SW982
Dactinomycin_1911,COLO-684
Camptothecin,LB647-SCLC
Dactolisib,DB
BI-2536,NCI-H1105
Schweinfurthin A,SBC-5
Dinaciclib,EKVX
Schweinfurthin A,HARA
SCH772984,BPH-1
Telomerase Inhibitor IX,U-87-MG
Camptothecin,LS-513
MG-132,RPMI-8402
JQ1,OPM-2
Dactolisib,SUP-T1
MG-132,COR-L321
Camptothecin,A3-KAW
Docetaxel_1007,HCC-44
Schweinfurthin A,NCI-H82
BMS-536924,NB69
Dinaciclib,CP66-MEL
Pevonedistat,JHOS-4
Dinaciclib,SK-N-AS
Gemcitabine,MSTO-211H
Dinaciclib,COLO-668
SN-38,IST-SL2
Afatinib,TE-12
Romidepsin,SiHa
Tanespimycin,KMOE-2
Rapamycin,SW620
Trametinib,RT4
Paclitaxel,PL4
Wee1 Inhibitor,SU-DHL-5
Docetaxel_1819,SNU-175
Tanespimycin,TE-4
Gemcitabine,ES4
Dactinomycin_1911,TGBC24TKB
Camptothecin,YAPC
Sepantronium bromide,SU8686
Daporinad,LS-513
WEHI-539,SW626
Docetaxel_1007,SW626
Vinorelbine,COLO-783
BI-2536,EW-1
OTX015,SU-DHL-10
MG-132,BHY
Docetaxel_1007,U-118-MG
Sepantronium bromide,SW1088
Rapamycin,SW626
SN-38,WM278
AZD8055,NCI-H82
Trametinib,SAT
Romidepsin,KYSE-450
Trametinib,DK-MG
ABT737,A673
Daporinad,KYSE-450
Docetaxel_1007,NCI-H69
Trametinib,SW962
Paclitaxel,TE-4
Daporinad,LU-65
Paclitaxel,SK-MEL-28
MG-132,HCC2218
Docetaxel_1819,UMC-11
Pevonedistat,LB647-SCLC
Docetaxel_1819,A549
MG-132,EFO-21
Dactolisib,UACC-62
OTX015,OCI-M1
AZD7762,COLO-668
SN-38,NCI-H510A
Vinorelbine,TE-4
Pevonedistat,BV-173
AZD7762,L-363
Schweinfurthin A,EW-18
SN-38,RH-41
AZD7762,MDST8
Dactinomycin_1911,HTC-C3
Topotecan,HOS
Paclitaxel,ESO51
Camptothecin,JURL-MK1
Tanespimycin,HCC-44
Rapamycin,NCI-H2030
Epirubicin,LB373-MEL-D
Sepantronium bromide,C3A
Romidepsin,BL-41
SN-38,KELLY
Topotecan,HC-1
Docetaxel_1007,U-266
Pevonedistat,RH-1
Camptothecin,EW-18
Dactinomycin_1911,NCI-H748
Sepantronium bromide,A549
Romidepsin,JHH-1
Docetaxel_1007,IHH-4
Epirubicin,KON
Topotecan,KYSE-220
Docetaxel_1007,NB5
Vinorelbine,HCC-366
BI-2536,SK-N-AS
Camptothecin,BE-13
Romidepsin,HAL-01
Dihydrorotenone,NCI-H929
Camptothecin,HO-1-u-1
Docetaxel_1007,23132-87
Docetaxel_1007,LAN-6
Vinorelbine,SK-N-AS
Gemcitabine,MZ7-mel
SCH772984,HCC2998
Tanespimycin,EVSA-T
Docetaxel_1007,HCC-366
Gemcitabine,COR-L279
Sepantronium bromide,OCI-M1
Docetaxel_1007,COR-L321
Schweinfurthin A,Farage
MG-132,MDST8
Dinaciclib,PANC-10-05
ZM447439,ST486
Docetaxel_1819,LU-65
SN-38,SUP-B8
Daporinad,JVM-3
MG-132,CGTH-W-1
PD0325901,UACC-257
Docetaxel_1007,ES8
Dactinomycin_1911,IGR-37
Docetaxel_1819,CP66-MEL
Gemcitabine,OPM-2
Dactolisib,SK-N-AS
MG-132,SK-N-FI
Pevonedistat,SIMA
Axitinib,HSC-39
Sepantronium bromide,SK-GT-4
Camptothecin,HCC-44
Romidepsin,ES7
Pevonedistat,BL-41
BMS-536924,NCI-H1755
Vinorelbine,AM-38
Dactolisib,OVCAR-5
Rapamycin,SiHa
Paclitaxel,LC-1-sq
Gemcitabine,PCI-15A
MG-132,SW1417
Epirubicin,KGN
Gemcitabine,A172
Bleomycin (50 uM),RPMI-8866
MG-132,Detroit562
Sepantronium bromide,KYSE-510
Vinorelbine,L-428
MG-132,VA-ES-BJ
Sepantronium bromide,NCI-H510A
Epirubicin,DU-145
Schweinfurthin A,SU-DHL-10
SN-38,NCC021
Docetaxel_1819,MOLP-8
Dactinomycin_1911,LB2518-MEL
MG-132,GDM-1
Pevonedistat,BHT-101
Trametinib,SW620
Tanespimycin,RERF-LC-Sq1
Rapamycin,SK-MEL-28
PD0325901,JVM-3
Paclitaxel,NCI-H748
Tanespimycin,PCI-6A
Docetaxel_1007,NMC-G1
Uprosertib_1553,SU-DHL-10
MG-132,OCI-AML5
Dactolisib,NB1
Tanespimycin,AMO-1
Talazoparib,EW-22
Daporinad,PANC-04-03
PD0325901,WM278
Dactolisib,LB2518-MEL
BI-2536,LAN-6
Rapamycin,HCC1937
ZM447439,MOLM-16
Vinorelbine,OACp4C
PD0325901,SW1417
Tanespimycin,LB996-RCC
Gemcitabine,NCI-H322M
Bromosporine,OPM-2
SN-38,OV-7
BI-2536,Ca-Ski
Dinaciclib,NOMO-1
Docetaxel_1007,DMS-53
Dactinomycin_1911,SW1088
Sepantronium bromide,SU-DHL-10
Entinostat,NU-DUL-1
Dinaciclib,COLO-205
Epirubicin,HCC-44
Epirubicin,HSC-4
MG-132,SNU-407
Dactolisib,CHSA8926
Camptothecin,BHY
Pevonedistat,A375
Sepantronium bromide,EN
SCH772984,G-361
Camptothecin,KMRC-1
Camptothecin,NCI-H510A
Dihydrorotenone,COLO-320-HSR
Gemcitabine,BPH-1
Fludarabine,UACC-62
Docetaxel_1007,no-11
BI-2536,Farage
Docetaxel_1819,A3-KAW
Paclitaxel,OE21
Rapamycin,SW1088
GW441756,NCI-H82
Rapamycin,NCI-H1793
Docetaxel_1007,COLO-205
Topotecan,DMS-53
Sepantronium bromide,NCI-H1105
Tanespimycin,SK-MG-1
Trametinib,NCI-H647
Docetaxel_1819,NCI-H82
Mycophenolic acid,IMR-5
NVP-ADW742,EW-11
Dinaciclib,HT-144
Vinorelbine,KP-4
Camptothecin,T-T
SN-38,VAL
Tanespimycin,SKG-IIIa
Docetaxel_1819,NCI-H1915
AZD6738,KON
Sepantronium bromide,SK-CO-1
AZD7762,RCH-ACV
Dactinomycin_1911,OVCA420
Pevonedistat,GDM-1
Dactolisib,G-361
LCL161,OCUB-M
OTX015,BFTC-905
Tanespimycin,DMS-79
Docetaxel_1007,OV-7
BMS-536924,HSC-39
Dactolisib,EW-18
MG-132,Ramos-2G6-4C10
Wee1 Inhibitor,Hs-633T
MG-132,EW-16
Gemcitabine,U031
Rapamycin,GDM-1
I-BET-762,ST486
Paclitaxel,SW1088
Vinorelbine,CHP-212
Entinostat,KY821
Paclitaxel,NCI-H1781
MG-132,SBC-5
Tanespimycin,GP5d
Tanespimycin,TOV-112D
Docetaxel_1007,SK-N-FI
Cytarabine,ARH-77
PD0325901,G-361
AZD8055,U-698-M
Dactolisib,D-502MG
Vinorelbine,P31-FUJ
Sepantronium bromide,PL-21
Telomerase Inhibitor IX,MOLM-16
Paclitaxel,EW-1
Talazoparib,COR-L279
Tanespimycin,DAN-G
Camptothecin,NCI-H524
Sepantronium bromide,BB65-RCC
Topotecan,IGR-37
Dinaciclib,RCC10RGB
Docetaxel_1819,ES-2
BI-2536,TE-12
Dactinomycin_1911,SKG-IIIa
BEN,HLE
Tanespimycin,Calu-6
Sepantronium bromide,VA-ES-BJ
Vinorelbine,SU-DHL-5
Epirubicin,RL95-2
AZD7762,NCI-H727
AZD8055,COLO-205
Dactolisib,JIMT-1
Epirubicin,BFTC-905
Epirubicin,CRO-AP2
Romidepsin,U251
Vinorelbine,UACC-62
Dactolisib,KP-N-YN
Afatinib,PCI-4B
Pevonedistat,JHU-022
Dactinomycin_1911,MIA-PaCa-2
Gemcitabine,KMRC-1
Docetaxel_1007,OPM-2
Docetaxel_1007,VCaP
Pevonedistat,HOS
AZD8055,IHH-4
Docetaxel_1007,RPMI-8402
Gemcitabine,TC-YIK
Dactolisib,OV-7
Romidepsin,KYSE-510
Pyridostatin,SKM-1
PD0325901,U031
Epirubicin,VCaP
Tanespimycin,HSC-39
Sepantronium bromide,SCC-4
Docetaxel_1819,OE33
WEHI-539,NCI-H524
Daporinad,COR-L88
Romidepsin,MOLP-8
Docetaxel_1007,GDM-1
Romidepsin,HCT-116
Tanespimycin,NCI-H2228
Daporinad,GAK
Rapamycin,RCC10RGB
AZD8055,RL95-2
MG-132,A388
MG-132,COR-L279
MG-132,EW-22
Dactinomycin_1911,PA-TU-8902
Dinaciclib,DMS-114
Gemcitabine,HA7-RCC
Docetaxel_1007,CAL-33
Buparlisib,CRO-AP2
Rapamycin,MDA-MB-231
MG-132,ESO51
Daporinad,NCI-H835
Wee1 Inhibitor,HSC-39
Tanespimycin,KY821
SN-38,COR-L311
Epirubicin,HC-1
Rapamycin,OCI-AML5
Vinorelbine,VCaP
Romidepsin,ALL-PO
Romidepsin,HSC-4
Romidepsin,HCC-366
Sepantronium bromide,PCI-15A
Telomerase Inhibitor IX,HLE
Dinaciclib,GP5d
AZD8055,KALS-1
Ulixertinib_1908,SK-MEL-28
Docetaxel_1819,MDST8
Romidepsin,DMS-53
Dinaciclib,SK-MEL-3
Sepantronium bromide,HGC-27
Rapamycin,NCI-H929
Docetaxel_1819,SCC-4
Dactolisib,TUR
Dactolisib,AU565
Daporinad,NCI-H727
Dinaciclib,D-502MG
Docetaxel_1819,LB996-RCC
MG-132,AMO-1
Dactinomycin_1911,SF268
Afatinib,SCC-15
Vinorelbine,HCT-116
Afatinib,5637
Pevonedistat,GB-1
Gemcitabine,ES-2
Paclitaxel,CAL-33
Sepantronium bromide,U-87-MG
Dactolisib,Hs-633T
Rapamycin,DG-75
Dactinomycin_1911,SISO
Daporinad,HDLM-2
SN-38,LC-1-sq
Rapamycin,HCC1419
Sepantronium bromide,AU565
Docetaxel_1007,MKN1
Romidepsin,MFM-223
Dinaciclib,DOHH-2
SCH772984,LB2518-MEL
Paclitaxel,A673
Camptothecin,NB5
Epirubicin,MOLT-16
Paclitaxel,NCI-H2066
Sepantronium bromide,KYSE-410
AZD8055,P31-FUJ
MG-132,HOS
Docetaxel_1819,DG-75
Camptothecin,SW156
Dactinomycin_1911,OCI-LY-19
Dactinomycin_1911,BL-41
Topotecan,MOLT-4
Trametinib,SIMA
Sepantronium bromide,NCI-H1944
Dinaciclib,WM278
Sepantronium bromide,TGBC24TKB
PD0325901,NOMO-1
Dinaciclib,KY821
Vinorelbine,NCI-H835
Dactinomycin_1911,JM1
Dactinomycin_1911,SUP-B8
Vinorelbine,UMC-11
SN-38,HLE
Rapamycin,RCC-FG2
Docetaxel_1819,PL4
Epirubicin,MFH-ino
AZD8055,ME-1
Dactolisib,U031
Romidepsin,C3A
Dactinomycin_1911,NCI-H835
SN-38,KMOE-2
Sepantronium bromide,RPMI-8226
SN-38,MFM-223
Topotecan,IHH-4
Vinorelbine,LB373-MEL-D
Docetaxel_1007,NCI-H2196
Trametinib,SU-DHL-1
SN-38,MEL-HO
Gemcitabine,HARA
MG-132,PL-21
Sepantronium bromide,HCC1395
Dihydrorotenone,NCI-H211
Rapamycin,BE2-M17
Romidepsin,BE2-M17
BI-2536,WM278
Rapamycin,SF126
MG-132,SF126
Pevonedistat,RCH-ACV
Gemcitabine,CGTH-W-1
Gemcitabine,RS4-11
Camptothecin,SISO
AZD8055,BV-173
SN-38,RCC-JF
Cytarabine,HAL-01
Sepantronium bromide,AMO-1
AZD5363,NU-DUL-1
Trametinib,ML-1
Dactinomycin_1911,AN3-CA
Axitinib,P31-FUJ
Topotecan,HAL-01
Camptothecin,RH-18
Dactinomycin_1911,EMC-BAC-2
Dactolisib,SW1088
Camptothecin,L-428
Sepantronium bromide,COLO-684
Paclitaxel,SW1271
AZD7762,TGBC11TKB
AZD8055,RH-41
Vinorelbine,OCI-M1
Gemcitabine,AMO-1
Romidepsin,LS-513
Gemcitabine,OCI-AML5
MG-132,D-283MED
MG-132,RCC10RGB
ABT737,NCI-H720
Rapamycin,LB373-MEL-D
Romidepsin,SK-MM-2
Telomerase Inhibitor IX,HO-1-u-1
BI-2536,KU812
AZD8055,GAMG
Vinorelbine,CCK-81
Pevonedistat,T-T
Camptothecin,KYSE-50
Rapamycin,TK10
Dinaciclib,SW982
Dinaciclib,RCC-MF
SN-38,NB12
Daporinad,ES1
Pevonedistat,AMO-1
Docetaxel_1007,NU-DUL-1
Dactinomycin_1911,NKM-1
ZM447439,MOLT-16
AZD2014,A3-KAW
Gemcitabine,SU-DHL-10
Dinaciclib,JiyoyeP-2003
Mycophenolic acid,SNU-175
MG-132,ARH-77
Daporinad,TC-YIK
5-azacytidine,KY821
Dinaciclib,MKN1
Dactolisib,KYSE-510
Docetaxel_1007,KMRC-20
Dinaciclib,NCI-H2196
JQ1,COR-L311
Vinorelbine,SF268
Docetaxel_1007,CL-11
Dactolisib,MDA-MB-415
Paclitaxel,A101D
BI-2536,HC-1
Rapamycin,VAL
BI-2536,SW982
Trametinib,T-T
SN-38,RPMI-8226
Docetaxel_1007,SW1710
Camptothecin,CHP-134
Paclitaxel,HCC-366
Docetaxel_1819,MG-63
SN-38,MDA-MB-231
Epirubicin,NOMO-1
Selumetinib_1062,SK-MEL-28
BI-2536,L-428
Vinorelbine,RCC-JW
BI-2536,ASH-3
AZD7762,ARH-77
Dactinomycin_1911,STS-0421
Epirubicin,TGW
SN-38,MKN7
Sepantronium bromide,HT-144
MG-132,TUR
Mycophenolic acid,OCI-M1
Afatinib,KYAE-1
Daporinad,DND-41
Vinorelbine,PCI-4B
Epirubicin,OCI-M1
Gemcitabine,OAW-42
Gemcitabine,LS-513
AZD7762,SU-DHL-1
Topotecan,RPMI-8226
Epirubicin,TUR
Romidepsin,NCI-H1869
Irinotecan,RPMI-8402
Vinorelbine,HCC1569
Paclitaxel,VCaP
Dinaciclib,HCT-116
Rapamycin,OCI-M1
Sepantronium bromide,SiHa
Docetaxel_1819,U-2-OS
Vinorelbine,AU565
Entinostat,A3-KAW
Rapamycin,STS-0421
Romidepsin,SW1417
Dactinomycin_1911,U-266
Sepantronium bromide,WIL2-NS
MG-132,G-361
Buparlisib,JiyoyeP-2003
Camptothecin,COLO-320-HSR
Rapamycin,RS4-11
Daporinad,NCI-H2030
Daporinad,HCC-44
Epirubicin,NB1
Selumetinib_1736,NB69
Vinorelbine,LB647-SCLC
PLX-4720,SK-MEL-28
Telomerase Inhibitor IX,ES8
Camptothecin,DoTc2-4510
Selumetinib_1736,JURL-MK1
Talazoparib,RCH-ACV
Docetaxel_1007,GAMG
Paclitaxel,CCK-81
Vinorelbine,DOHH-2
AZD8055,UACC-62
ABT737,NB12
Daporinad,MN-60
Trametinib,SK-MEL-28
Dinaciclib,NOS-1
Dinaciclib,KMS-11
Gemcitabine,CHP-212
Dihydrorotenone,DMS-114
Telomerase Inhibitor IX,DG-75
Sepantronium bromide,GOTO
Pevonedistat,EN
Dinaciclib,U-698-M
Dactinomycin_1911,ARH-77
Rapamycin,COLO-205
Dinaciclib,KYSE-50
AZD8055,SUP-T1
Epirubicin,Ca-Ski
Epirubicin,MOLM-16
Dinaciclib,NCI-N87
MG-132,OE21
AZD6738,GOTO
Dinaciclib,NCI-H716
Paclitaxel,AU565
Sepantronium bromide,SNB75
Gemcitabine,FTC-133
Trametinib,C3A
Gemcitabine,SAS
Camptothecin,U031
Romidepsin,FTC-133
Trametinib,HTC-C3
MG-132,SU-DHL-5
Dactinomycin_1911,RCC-FG2
Talazoparib,MOLT-4
Rapamycin,SNU-449
Gemcitabine,EW-16
Daporinad,RCH-ACV
Mycophenolic acid,SU-DHL-5
SN-38,HDQ-P1
AMG-319,JVM-3
AZD5991,L-363
Paclitaxel,CHSA8926
Gemcitabine,BFTC-905
Dactolisib,LB996-RCC
Paclitaxel,MKN1
Selumetinib_1062,LB2518-MEL
Paclitaxel,SCC-15
Talazoparib,SK-CO-1
Daporinad,ONS-76
SN-38,JHU-022
BI-2536,HLE
Daporinad,COR-L32
Camptothecin,FU97
Camptothecin,HLE
SN-38,PSN1
BI-2536,A549
Dactinomycin_1911,NCI-H2135
Gemcitabine,CRO-AP2
MG-132,SK-MEL-2
Wee1 Inhibitor,MOLM-16
Schweinfurthin A,PWR-1E
PD0325901,RL95-2
Dactolisib,RMG-I
MG-132,JIMT-1
Telomerase Inhibitor IX,SAS
Dihydrorotenone,RL95-2
Docetaxel_1007,OCI-M1
Paclitaxel,RCC-JF
Sepantronium bromide,MDA-MB-361
BI-2536,KALS-1
Romidepsin,UMC-11
AZD8055,MFM-223
SCH772984,SKM-1
Dactinomycin_1911,KMOE-2
Dactolisib,EW-1
AZD7762,BL-41
Paclitaxel,Hs-445
Dactolisib,MHH-PREB-1
Camptothecin,BHT-101
Topotecan,RS4-11
MG-132,P31-FUJ
Dihydrorotenone,A549
Sepantronium bromide,Mo-T
Gemcitabine,OV-7
Gemcitabine,ARH-77
MG-132,DMS-79
Topotecan,A549
Romidepsin,RKO
Paclitaxel,SW962
Wee1 Inhibitor,ES1
Pevonedistat,ES7
Camptothecin,SK-CO-1
MG-132,NCI-H2141
Tanespimycin,HDQ-P1
MG-132,OCI-LY-19
Tanespimycin,AM-38
MG-132,OVCA420
Dihydrorotenone,EKVX
AZD8055,NB69
Dinaciclib,LB996-RCC
Epirubicin,WIL2-NS
Sepantronium bromide,IA-LM
Sepantronium bromide,DU-145
Gemcitabine,RCC-JF
Epirubicin,SUIT-2
Dinaciclib,TE-10
Rapamycin,P31-FUJ
MG-132,SF295
Vinorelbine,ES8
ZM447439,VAL
Rapamycin,MEL-HO
Camptothecin,OE33
Tanespimycin,SK-CO-1
Docetaxel_1819,SIMA
Docetaxel_1819,TE-6
OTX015,AMO-1
Sepantronium bromide,OAW-42
Cytarabine,WIL2-NS
Dinaciclib,SW1271
Sepantronium bromide,NCI-H1869
Axitinib,NALM-6
BI-2536,SCC-15
Dinaciclib,TC-YIK
Paclitaxel,HO-1-u-1
Docetaxel_1007,OVCAR-5
Dihydrorotenone,SiHa
Dactolisib,TE-12
BI-2536,JiyoyeP-2003
Rapamycin,TC-71
Tanespimycin,GDM-1
JQ1,BPH-1
Romidepsin,HDQ-P1
Paclitaxel,HT-144
Dactinomycin_1911,PE-CA-PJ15
Rapamycin,MZ7-mel
Dinaciclib,PSN1
Docetaxel_1007,PANC-08-13
ABT737,HCC1569
PD0325901,RKO
JQ1,L-363
BI-2536,MDA-MB-231
Dactolisib,OCUB-M
Rapamycin,ML-1
MG-132,DOHH-2
MK-8776,HCC2218
SCH772984,LU-65
BI-2536,D-283MED
Docetaxel_1819,HT-144
Cytarabine,IHH-4
Tanespimycin,OE21
Dactinomycin_1911,SW982
Gemcitabine,U-87-MG
BEN,SBC-5
BI-2536,MIA-PaCa-2
Epirubicin,SK-MEL-3
PAK_5339,JVM-3
Dihydrorotenone,SKG-IIIa
Dactinomycin_1911,WIL2-NS
Vinorelbine,ES7
Docetaxel_1819,IHH-4
Dactolisib,RH-41
AZD8055,ONS-76
Romidepsin,HDLM-2
SN-38,HO-1-u-1
Gemcitabine,YH-13
Telomerase Inhibitor IX,SK-MG-1
Dactolisib,SNU-449
Schweinfurthin A,CAL-33
Dactinomycin_1911,JVM-3
Gemcitabine,SK-N-SH
Docetaxel_1819,NCI-H929
MG-132,RH-41
Docetaxel_1007,A101D
Cytarabine,NALM-6
Docetaxel_1007,NCI-H2030
Pevonedistat,TE-6
Uprosertib_2106,NCI-H720
AZD7762,Calu-6
Romidepsin,HPAC
Camptothecin,CRO-AP2
Docetaxel_1007,D-283MED
SN-38,SUP-T1
Daporinad,SK-MEL-1
Vinorelbine,RCC-MF
Dactinomycin_1911,KP-3
MG-132,NCI-H720
Dactolisib,ME-180
Gemcitabine,EC-GI-10
Camptothecin,MDA-MB-361
Gemcitabine,LB996-RCC
Camptothecin,MS-1
MG-132,DB
Schweinfurthin A,YH-13
BI-2536,SF126
Topotecan,ASH-3
Vinorelbine,CP66-MEL
Camptothecin,HSC-4
Dinaciclib,PA-TU-8902
AZD6738,BV-173
Topotecan,Detroit562
Topotecan,RH-1
Vinorelbine,no-11
Epirubicin,IMR-5
Romidepsin,KYAE-1
Rapamycin,PCI-4B
Epirubicin,BPH-1
Dinaciclib,NCI-H1993
Pevonedistat,D-283MED
Epirubicin,OE33
Axitinib,BE-13
SN-38,EC-GI-10
Paclitaxel,NCI-H1755
Epirubicin,DND-41
Bromosporine,JVM-3
Tanespimycin,NCI-H510A
Paclitaxel,RL95-2
Epirubicin,KMRC-20
Vinorelbine,LB2518-MEL
Pevonedistat,MHH-PREB-1
Dactolisib,PA-TU-8902
Dactinomycin_1911,NCI-H2228
Vinorelbine,KGN
Pevonedistat,COR-L321
Romidepsin,NCI-H2023
Telomerase Inhibitor IX,HSC-39
Sepantronium bromide,ES-2
Romidepsin,HCC2998
Docetaxel_1007,NCI-H716
Dactinomycin_1911,SK-MM-2
Romidepsin,RH-1
Pevonedistat,JiyoyeP-2003
SCH772984,MDST8
MG-132,SUP-T1
Schweinfurthin A,TOV-112D
MG-132,U-87-MG
WEHI-539,OCI-M1
Dinaciclib,SAT
Docetaxel_1007,OCUB-M
AZD8055,NOS-1
MG-132,DMS-114
Topotecan,EW-1
Dactinomycin_1911,EVSA-T
Vinorelbine,MDA-MB-468
ABT737,DOHH-2
Dactolisib,PE-CA-PJ15
Romidepsin,5637
ZM447439,RH-1
AZD8055,AU565
MG-132,HCC1937
Dactinomycin_1911,LAN-6
Tanespimycin,RT4
AZD5991,KELLY
MG-132,D-502MG
Sepantronium bromide,RC-K8
Bromosporine,NALM-6
Vinorelbine,KS-1
Dinaciclib,GOTO
AZD7762,HSC-4
Paclitaxel,ME-180
Dactinomycin_1911,U031
Paclitaxel,ES1
SN-38,TUR
Sepantronium bromide,PEO1
Paclitaxel,NOMO-1
Camptothecin,ES4
MG-132,PWR-1E
Tanespimycin,SBC-5
Dactolisib,L-428
Topotecan,AMO-1
Dactolisib,RL95-2
Buparlisib,OCI-M1
Epirubicin,NCI-H211
Dactinomycin_1911,TOV-112D
Rapamycin,A253
JQ1,NCI-H211
Paclitaxel,Mewo
Romidepsin,TE-4
Rapamycin,SK-LMS-1
Camptothecin,CAL-72
PD0325901,NKM-1
Dinaciclib,KELLY
Fludarabine,SU-DHL-5
Paclitaxel,Mo-T
Dactolisib,OVISE
JQ1,ARH-77
Uprosertib_2106,23132-87
Camptothecin,COR-L279
Epirubicin,NCI-H322M
Camptothecin,HCC2998
Sepantronium bromide,HLE
Paclitaxel,RCC-MF
Tanespimycin,HCC2157
Dactinomycin_1911,SF126
AZD7762,769-P
Pevonedistat,IHH-4
Docetaxel_1819,KP-4
Mycophenolic acid,JURL-MK1
Camptothecin,KP-4
Docetaxel_1007,MZ7-mel
Trametinib,NKM-1
MG-132,23132-87
Topotecan,NCI-H1944
Docetaxel_1007,Ca-Ski
Dinaciclib,FTC-133
AZD5363,HGC-27
Bromosporine,ST486
Sepantronium bromide,IMR-5
Dinaciclib,LU-65
Dactolisib,COR-L311
Dinaciclib,LU-139
Camptothecin,JM1
Schweinfurthin A,COLO-684
ABT737,IST-SL2
Docetaxel_1007,JURL-MK1
Docetaxel_1007,KON
Daporinad,PANC-03-27
Camptothecin,CAL-85-1
Entinostat,MZ7-mel
Epirubicin,DMS-79
Docetaxel_1819,TUR
Dactolisib,IST-MEL1
ABT737,ME-1
Romidepsin,COLO-320-HSR
Pevonedistat,SK-MEL-30
AZD5991,RS4-11
Camptothecin,MG-63
Docetaxel_1819,TC-YIK
PD0325901,SK-N-AS
Vinorelbine,Hs-683
SN-38,EMC-BAC-2
MG-132,SAT
MG-132,CHP-212
Docetaxel_1007,DG-75
Rapamycin,LB647-SCLC
Dinaciclib,UACC-62
SN-38,SW1088
Vinorelbine,CHSA8926
Tanespimycin,COLO-824
AZD7762,RCC-JF
Docetaxel_1007,MHH-CALL-2
Paclitaxel,EN
BI-2536,ES1
Epirubicin,NB69
Romidepsin,KARPAS-45
AZD2014,RH-41
SN-38,DB
Romidepsin,SW1271
Dactolisib,KMOE-2
Sepantronium bromide,P31-FUJ
Dinaciclib,RL95-2
Camptothecin,NCI-H2009
Docetaxel_1819,RS4-11
Docetaxel_1007,KMOE-2
Topotecan,SK-CO-1
Pevonedistat,CAL-33
Dactolisib,NCI-H727
Camptothecin,SCC-15
Daporinad,KMS-11
Docetaxel_1007,LB2518-MEL
AZD7762,HCC2998
AZD7762,TC-YIK
Trametinib,DAN-G
Docetaxel_1007,TE-4
BI-2536,OCI-AML5
Trametinib,SK-GT-4
Paclitaxel,NCI-H2110
AZD6738,NALM-6
Camptothecin,SK-MEL-5
ABT737,COLO-824
Epirubicin,YH-13
Docetaxel_1819,SW620
Topotecan,SKM-1
Tanespimycin,SK-MEL-2
Dactolisib,MFE-280
Schweinfurthin A,KY821
Rapamycin,HDLM-2
Docetaxel_1007,NKM-1
Romidepsin,LU-65
MG-132,Calu-6
Daporinad,MKN1
Gemcitabine,DU-145
MG-132,SK-MEL-28
Telomerase Inhibitor IX,OCI-M1
Dactolisib,EVSA-T
Paclitaxel,COR-L279
Topotecan,A2058
Dactinomycin_1911,DG-75
Pevonedistat,RL95-2
Talazoparib,NALM-6
Trametinib,COLO-205
Daporinad,IGR-37
Vinorelbine,SK-MES-1
Cytarabine,OCI-M1
MG-132,MZ7-mel
Pevonedistat,TUR
PD0325901,OCI-AML5
Irinotecan,TC-YIK
Trametinib,KMOE-2
Epirubicin,SK-N-DZ
Trametinib,Calu-6
Epirubicin,LU-65
Docetaxel_1007,SW1088
Docetaxel_1007,MFH-ino
Entinostat,SU-DHL-10
Docetaxel_1007,RH-1
Daporinad,D-283MED
Bleomycin (50 uM),HCC-44
Camptothecin,Hs-633T
Dinaciclib,A673
Daporinad,NB69
Rapamycin,COR-L311
AZD6738,D-283MED
Daporinad,COR-L279
BEN,SK-CO-1
BMS-536924,NCI-H929
Afatinib,LS-513
Dactolisib,HLE
AZD5991,MOLT-16
SN-38,COR-L32
Gemcitabine,RCC-FG2
MG-132,A673
ABT737,COR-L32
Docetaxel_1007,DAN-G
Dactinomycin_1911,COLO-783
JQ1,HCC2157
Docetaxel_1819,SCC-15
Telomerase Inhibitor IX,EW-22
SN-38,PCI-30
Rapamycin,D-423MG
ZM447439,BL-41
BI-2536,TC-71
Buparlisib,ES8
MG-132,DK-MG
Romidepsin,SISO
MG-132,EC-GI-10
PD0325901,ES-2
Paclitaxel,KYSE-50
Sepantronium bromide,HCC1569
SN-38,HAL-01
Tanespimycin,WM278
ZM447439,KARPAS-45
Gemcitabine,KELLY
Tanespimycin,D-566MG
SCH772984,BHT-101
Paclitaxel,HCC1937
BI-2536,D-502MG
Epirubicin,SISO
Docetaxel_1007,NCI-H2228
Pevonedistat,SK-MEL-2
Docetaxel_1007,PANC-03-27
Talazoparib,Farage
Dactolisib,HSC-4
Camptothecin,A673
Docetaxel_1819,BPH-1
SN-38,RC-K8
AZD7762,JiyoyeP-2003
Dactinomycin_1911,KY821
Trametinib,STS-0421
Dactolisib,MZ7-mel
Uprosertib_1553,ME-180
Dihydrorotenone,TOV-112D
Romidepsin,OE33
SN-38,ONS-76
Epirubicin,GAMG
AZD7762,MS-1
Romidepsin,RT4
Dinaciclib,GI-1
Dinaciclib,5637
Dactinomycin_1911,GAMG
Dinaciclib,MDA-MB-415
Dinaciclib,SW1710
